"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"Black Label Tuning","5","5","31 Algonquin Trail","Cranston","Rhode Island","US","http://blacklabeltuning.com/","(401) 486-0932","Auto tune up service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Black%20Label%20Tuning&query_place_id=ChIJdw4C5VZI5IkRDJEaNvF0Xt0","Auto tune up service"
"Tuner Tools","5","17","4 Innis Dr Building 4, Unit 5","Billerica","Massachusetts","US","http://www.tunertools.com/","(888) 623-8863","Auto parts store",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Tuner%20Tools&query_place_id=ChIJPSV_qFmIOIgRZj5moxLvENM","Auto parts store"
"Dyno Lab LLC","5","2","201 Park Rd","Putnam","Connecticut","US",,"(860) 963-0076","Auto parts store",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Dyno%20Lab%20LLC&query_place_id=ChIJ9Uh2sSUm5IkR_QUN0dSUWzQ","Auto parts store"
"Import DPS","4.7","130","2951 N Marshall St","Philadelphia","Pennsylvania","US","https://importdpsonline.com/","(215) 227-6000","Auto repair shop","Auto machine shop","Auto parts store","Auto restoration service",,,,,,,"https://www.google.com/maps/search/?api=1&query=Import%20DPS&query_place_id=ChIJdY5VVx3IxokRiOWKFG_4EQo","Auto repair shop"
"Matraku Motorsports Tuning LLC","5","11","1155 Bristol Pike","Andalusia","Pennsylvania","US",,"(215) 939-7276","Auto repair shop",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Matraku%20Motorsports%20Tuning%20LLC&query_place_id=ChIJCWKF4NlNwYkR_DVzqIOBQtY","Auto repair shop"
"Collingdale Performance Inc","4.9","235","710 MacDade Blvd","Collingdale","Pennsylvania","US","http://www.collingdaleperformance.com/","(610) 461-5033","Auto repair shop",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Collingdale%20Performance%20Inc&query_place_id=ChIJF8_GM7_DxokRp-nsiPnV0B8","Auto repair shop"
"LABWORX DEVELOPMENT","4","33","3 Larwin Rd SUITE C1-C2","Cherry Hill Township","New Jersey","US",,"(856) 888-1528","Auto tune up service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=LABWORX%20DEVELOPMENT&query_place_id=ChIJC2sggDPLxokR3Pu_gNenWmY","Auto tune up service"
"I S Performance Center","4.8","15","1809 E Madison St","Philadelphia","Pennsylvania","US",,"(215) 423-1980","Auto repair shop",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=I%20S%20Performance%20Center&query_place_id=ChIJHU_GbdS3xokRlRVHYgPYtso","Auto repair shop"
"AutoSpeed","4.7","69","103 Laurel Rd","Voorhees Township","New Jersey","US","https://autospeed.us/","(856) 772-9500","Auto repair shop","Auto machine shop","Machine shop",,,,,,,,"https://www.google.com/maps/search/?api=1&query=AutoSpeed&query_place_id=ChIJJ0Oe9Q_NxokRVA7TXaIJ1GY","Auto repair shop"
"Kp tuning","5","23","7 Humphreys Dr","Warminster","Pennsylvania","US","http://facebook.com/kptuning","(267) 278-5246","Auto repair shop",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kp%20tuning&query_place_id=ChIJL0L-eT2vxokRMwAsMBqCHVM","Auto repair shop"
"AMR Performance","4.8","486","50 Beaver Brook Rd","Danbury","Connecticut","US","https://www.amrperformance.com/","(941) 313-2186","Auto tune up service","Manufacturer",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=AMR%20Performance&query_place_id=ChIJn4AYIBD_54kRv5zaXoHi4Lk","Auto tune up service"
"Mperor Tuning LLC","4.1","29","59 King Spring Rd Ste m","Windsor Locks","Connecticut","US",,"(860) 924-4720","Auto repair shop","Car repair and maintenance service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Mperor%20Tuning%20LLC&query_place_id=ChIJ6aSugMr95okRA-kIGhDisQI","Auto repair shop"
"Pro Edge Tuning","4.5","83","44 N Plains Industrial Rd","Wallingford","Connecticut","US","http://www.proedgetuning.com/","(203) 907-4443","Auto tune up service","Auto repair shop",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Pro%20Edge%20Tuning&query_place_id=ChIJw560ylLJ54kRah1gDRSMXWA","Auto tune up service"
"KillTech Tuning","4.8","116","36 Michael Dr","Meriden","Connecticut","US","https://killtechtuning.com/","(203) 770-6934","Auto tune up service","Auto repair shop","Car accessories store","Mechanic","Racing car parts store",,,,,,"https://www.google.com/maps/search/?api=1&query=KillTech%20Tuning&query_place_id=ChIJW1OQh5S154kR7dcHIXHxRdk","Auto tune up service"
"EFI Performance","4.9","142","8 Sympaug Park Rd","Bethel","Connecticut","US","https://efiperformanceusa.com/","(203) 748-1115","Racing car parts store","Auto body shop","Auto bodywork mechanic","Race car dealer",,,,,,,"https://www.google.com/maps/search/?api=1&query=EFI%20Performance&query_place_id=ChIJLc-Dy8z_54kRYa5tQilrWvw","Racing car parts store"
"Horsepower Farm LLC","4.8","36","22 Shaker Brook Park","Loudon","New Hampshire","US","http://horsepowerfarmllc.com/","(833) 572-4267","Auto repair shop",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Horsepower%20Farm%20LLC&query_place_id=ChIJ7YY-PzNl4okRGPvXyV-jpFE","Auto repair shop"
"XO TUNING","5","9","1525 Neptune Ave","Brooklyn","New York","US",,"(929) 855-1144","Auto repair shop",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=XO%20TUNING&query_place_id=ChIJG7H_VmtFwokRTabFtpccaAc","Auto repair shop"
"DynoDrive LLC.","5","2","701 Holmdel Rd","Holmdel","New Jersey","US","https://www.dynodriveholmdel.com/","(732) 739-1360","Auto repair shop",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=DynoDrive%20LLC.&query_place_id=ChIJXWpFJwAzwokRBLKgHqZ6Zcc","Auto repair shop"
"Empire Auto Coding","5","43","99 Brighton 11th St","Brooklyn","New York","US","https://www.instagram.com/empireautocoding?igsh=OHpsZTAxMGZwb3U3","(347) 754-7772","Auto repair shop","Auto electrical service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Empire%20Auto%20Coding&query_place_id=ChIJmWyr7_pFwokRi8bAMHYGpEE","Auto repair shop"
"emegatronic llc | Porsche Specialist , Mclaren , BMW","4.9","71","1900 E Main St","Bridgeport","Connecticut","US","http://www.emegatronic.com/","(203) 332-7244","Engineer","Engine rebuilding service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=emegatronic%20llc%20%7C%20Porsche%20Specialist%20%2C%20Mclaren%20%2C%20BMW&query_place_id=ChIJ4zBZ9CYN6IkRhCA5hMHdYAo","Engineer"
"JT2 Auto ECU Tuning",,,"62 Marlboro St","Waterbury","Connecticut","US","https://www.instagram.com/jt2uning?igsh=M2l2YWs2cTBzYzY=&utm_source=qr","(347) 603-0353","Auto repair shop",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=JT2%20Auto%20ECU%20Tuning&query_place_id=ChIJUUT5-AnB54kRigMOQLtLk6w","Auto repair shop"
"Dave's Tuning Alternatives","5","29","1200 S Main St","Waterbury","Connecticut","US","http://www.davestuning.com/","(860) 805-0968","Auto repair shop","Car accessories store",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Dave's%20Tuning%20Alternatives&query_place_id=ChIJ4WobBwvB54kRes7NNzc29OQ","Auto repair shop"
"ACI Dynamix","4.6","147","132 Silvermine Rd","Seymour","Connecticut","US","http://www.acidynamix.com/","(203) 463-8741","Auto repair shop","Auto accessories wholesaler","Car detailing service","Car wash","Oil change service","Vehicle inspection service","Window tinting service",,,,"https://www.google.com/maps/search/?api=1&query=ACI%20Dynamix&query_place_id=ChIJuZefBbrd54kRxtLXQI57vOc","Auto repair shop"
"BT Moto","4.8","160","138 Milford St Ste A","Upton","Massachusetts","US","http://www.bt-moto.com/","(877) 483-4031","Research and product development",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=BT%20Moto&query_place_id=ChIJ17nOSpUN5IkR4MgG7Ji1Ci4","Research and product development"
"the moto lab","4.5","18","20 All Hallows Rd","Danielson","Connecticut","US",,"(860) 319-7871","Motorcycle repair shop",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=the%20moto%20lab&query_place_id=ChIJcfs8VSAr5IkRyfqK6IzlSZU","Motorcycle repair shop"
"Toce Performance","4.9","106","150 Batson Dr","Manchester","Connecticut","US","https://www.toceperformance.com/","(860) 289-7275","Manufacturer",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Toce%20Performance&query_place_id=ChIJ5_ZhnXpW5okRXgaV_LZeF94","Manufacturer"
"Pape Subaru","4.5","420","2065 Broadway","South Portland","Maine","US","https://www.papesubaru.com/","(207) 775-6222","Auto tune up service","Auto parts store","Auto repair shop","Subaru dealer","Car dealer","Used car dealer",,,,,"https://www.google.com/maps/search/?api=1&query=Pape%20Subaru&query_place_id=ChIJF7Bi6zuZskwR8RShBMHGtvo","Auto tune up service"
"Riverside Motorsports - Ducati Boston","3.6","91","83 Mystic Ave","Medford","Massachusetts","US","http://www.ducatiboston.net/","(617) 628-6400","Ducati dealer","Motorcycle dealer","Motorcycle parts store","Motorcycle repair shop","Motorcycle shop","Storage facility","Used motorcycle dealer",,,,"https://www.google.com/maps/search/?api=1&query=Riverside%20Motorsports%20-%20Ducati%20Boston&query_place_id=ChIJJXHm7cpw44kR6RH54kXEI7E","Ducati dealer"
"Twisted Cycles","4.9","144","5 Eastpoint Dr #28","Hooksett","New Hampshire","US","http://www.twistedcycles.net/","(603) 622-6032","Motorcycle repair shop",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Twisted%20Cycles&query_place_id=ChIJn59H5bnIW0ARgS4nYWYIc4k","Motorcycle repair shop"
"MAX BMW Motorcycles","4.6","243","493 Danbury Rd","New Milford","Connecticut","US","http://www.maxbmw.com/","(203) 740-1270","BMW motorcycle dealer","Motorcycle dealer","Motorcycle repair shop","Store",,,,,,,"https://www.google.com/maps/search/?api=1&query=MAX%20BMW%20Motorcycles&query_place_id=ChIJu9klJ6b554kR6BJJysN4gFE","BMW motorcycle dealer"
"Glen ECU Programming & Car Key","5","7","2998 CA-82","Santa Clara","California","US","https://glenecuprogrammingcarkey.com/","(408) 850-2553","Mechanic",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Glen%20ECU%20Programming%20%26%20Car%20Key&query_place_id=ChIJ48eYbpjLj4ARs-Guv5ftLYo","Mechanic"
"Figgys tuning","5","5","7670 Little Bend Cir","Anchorage","Alaska","US",,"","Audiologist",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Figgys%20tuning&query_place_id=ChIJhyxgJQCXyFYRSS_6EVFNn8Q","Audiologist"
"Top Secret USA","5","1","8005 Avalon Way","Piscataway","New Jersey","US",,"(561) 647-9713","Auto repair shop",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Top%20Secret%20USA&query_place_id=ChIJ13BLr5a5w4kRHCkOCb6H0mo","Auto repair shop"
"Cryotune Performance LLC","5","325","5270 Marshall St Unit A","Arvada","Colorado","US","http://www.cryotuneperformance.com/","(720) 526-0922","Auto repair shop",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Cryotune%20Performance%20LLC&query_place_id=ChIJfSVG5sSHa4cRG94Kg5zMHHk","Auto repair shop"
"Precision Tuning Motorsports","4.6","118","14 American Way","Spotswood","New Jersey","US","http://www.precisiontuning.com/","(732) 251-9900","Auto repair shop","Racing car parts store",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Precision%20Tuning%20Motorsports&query_place_id=ChIJGW_167SDwYkRN217ohvaKOQ","Auto repair shop"
"Kessel's Tuning","4.8","178","40 Dutch Row Rd","Monroeville","New Jersey","US","http://www.kesselstuning.com/","(856) 725-8208","Auto tune up service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kessel's%20Tuning&query_place_id=ChIJieHp_Bspx4kR_JNJHp9Le_8","Auto tune up service"
"V3 Performance ECU Tuning","3.8","33",,,,,,"(971) 427-7860","Racing car parts store","Service establishment",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=V3%20Performance%20ECU%20Tuning&query_place_id=ChIJpezZ8j-glVQRXeWpv-n4es4","Racing car parts store"
"808 Performance Specialties","4.8","18","2022 Republican St","Honolulu","Hawaii","US","http://www.808performancespecialties.com/","(808) 271-6263","Auto repair shop",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=808%20Performance%20Specialties&query_place_id=ChIJ7z_q4WBvAHwR1Y8eaQR2VqI","Auto repair shop"
