"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","url","categoryName"
"ECUTuner UK - Remapping & Diagnostic - EGR - DPF - ADBLUE","5","10","F2, Junction Rd","Southampton",,"GB","https://ecutuner.uk/","+44 7405 862739","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=ECUTuner%20UK%20-%20Remapping%20%26%20Diagnostic%20-%20EGR%20-%20DPF%20-%20ADBLUE&query_place_id=ChIJm0WdtGh3dEgRulecIA3XA2E","Auto tune up service"
"Geared Up Tuning Ecu Remaps","5","144","Geared Up Tuning, Stonham Barns, Pettaugh Rd","Stowmarket",,"GB","http://www.geareduptuning.co.uk/","+44 7787 032102","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Geared%20Up%20Tuning%20Ecu%20Remaps&query_place_id=ChIJTaiDjXul2UcREvpUfIoCxa0","Auto tune up service"
"Remaps UK","5","53","Parkwood Industrial Estate, Unit 31, Integra, Bircholt Rd","Maidstone",,"GB","https://remapsuk.com/","+44 1622 956135","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Remaps%20UK&query_place_id=ChIJV0vqZ-j7ekgROH3d7SEekFg","Auto tune up service"
"RS Tuning Limited - ECU Remapping, Tuning & Servicing","4.7","108","West End Garage, Cross Cliff Rd","Leeds",,"GB","https://www.rstuning.co.uk/","+44 113 243 6444","Auto tune up service","Auto air conditioning service","Auto repair shop","Car inspection station",,,,,,"https://www.google.com/maps/search/?api=1&query=RS%20Tuning%20Limited%20-%20ECU%20Remapping%2C%20Tuning%20%26%20Servicing&query_place_id=ChIJo5bUk7xeeUgREgQF_bd_7vM","Auto tune up service"
"Custom Remaps UK","5","123","Unit 22 Square St","Bradford",,"GB","https://www.customremapsuk.com/","+44 1274 317234","Auto tune up service","Car security system installer",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Custom%20Remaps%20UK&query_place_id=ChIJKyVcYynhe0gRE5YUiHr_QJA","Auto tune up service"
"Pure Tuning UK","4.9","79","5, Glyn Square","Milton Keynes",,"GB","https://puretuning.co.uk/","+44 7478 714510","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Pure%20Tuning%20UK&query_place_id=ChIJU2oGJKcBd0gR55jK4HoDXMk","Auto tune up service"
"Remap Kings","4.6","393","Head Office Ground Floor, 30 Clarendon Rd","Watford",,"GB","https://www.remapkings.com/","+44 800 061 4326","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Remap%20Kings&query_place_id=ChIJw4uaClFrdkgR9awqmTlhJ1Q","Auto tune up service"
"Geared Up Tuning ECU Remaps","5","148","Geared up tuning, Old Rd","Clacton-on-Sea",,"GB","http://www.geareduptuning.co.uk/","+44 7787 032102","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Geared%20Up%20Tuning%20ECU%20Remaps&query_place_id=ChIJeQobBC8T2UcRNq6wtrQrNGc","Auto tune up service"
"Anglia Tuning Centre","4.6","60","Unit 6 Hewett Rd","Great Yarmouth",,"GB","http://www.angliatuningcentre.co.uk/","+44 1493 806980","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Anglia%20Tuning%20Centre&query_place_id=ChIJzUpTQtkb2kcRWQXNvjgU5fQ","Auto tune up service"
"MHTuning.co.uk ECU Remapping","5","3","Lea Cl","Sandbach",,"GB","https://www.mhtuning.co.uk/","+44 7900 663442","Car repair and maintenance service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=MHTuning.co.uk%20ECU%20Remapping&query_place_id=ChIJX-4IuKGte0gRPs0GOkFmTfw","Car repair and maintenance service"
"AP Tuning (APT)","4.8","56","16, Shepherds Business Park, Norwich Rd, Lenwade","Norwich",,"GB","https://www.ap-tuning.co.uk/","+44 1603 870990","Auto repair shop",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=AP%20Tuning%20(APT)&query_place_id=ChIJn5RA7sdh10cR0IlNwQ2yP2o","Auto repair shop"
"Kennedy's Tuning","5","164","Yard H3, Derwenthaugh Ind Est, Derwenthaugh Rd","Newcastle upon Tyne",,"GB","https://www.kennedys-tuning.co.uk/","+44 191 622 2975","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kennedy's%20Tuning&query_place_id=ChIJqQsLcjSByiYRDxkPoqUk4tE","Auto tune up service"
"RJM Remaps","5","107","33 Oakwood Dr","Newcastle upon Tyne",,"GB","http://www.rjmremaps.com/","+44 191 486 2011","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=RJM%20Remaps&query_place_id=ChIJiYK-kR5yfkgRaE3v0jSD5l4","Auto tune up service"
"Diamond Motors - Remapping & ECU Experts Durham","4.8","123","Riverside Industrial Estate","Durham",,"GB","http://www.remapsandchips.co.uk/","+44 191 336 1067","Auto tune up service","Auto repair shop","Brake shop","Car inspection station","Car repair and maintenance service","Chauffeur service","Diesel engine repair service","Engine rebuilding service","Tire shop","https://www.google.com/maps/search/?api=1&query=Diamond%20Motors%20-%20Remapping%20%26%20ECU%20Experts%20Durham&query_place_id=ChIJ6--NSbF_fkgR70ZQid2otKU","Auto tune up service"
"GS AUTOS - Newcastle Remaps","4.9","50","UNIT 9, Mayfair House, Redburn Rd","Newcastle upon Tyne",,"GB","http://www.newcastlemechanic.co.uk/","+44 7539 187058","Auto tune up service","Auto repair shop","Car repair and maintenance service","Diesel engine repair service","Engine rebuilding service","Mechanic","Mechanical engineer","Motorsports store","Vehicle inspection service","https://www.google.com/maps/search/?api=1&query=GS%20AUTOS%20-%20Newcastle%20Remaps&query_place_id=ChIJNSzxabF3fkgRIuVbpIbSV9A","Auto tune up service"
"North East Tuning","5","110","Unit 2, Stargate Industrial Estate","Ryton",,"GB","http://northeasttuning.co.uk/","+44 7301 003272","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=North%20East%20Tuning&query_place_id=ChIJ8yN956bZfUgRRILbpSqb_0M","Auto tune up service"
"Rival Tuning","4.3","6","Unit 1A Mercia Way","Newcastle upon Tyne",,"GB","https://www.rivaltuning.co.uk/","+44 191 695 1012","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Rival%20Tuning&query_place_id=ChIJGbiCBld3fkgRKmLtN2znazY","Auto tune up service"
"Madhatter Mapping",,,"Old Firestation","Durham",,"GB","https://madhattermapping.co.uk/","","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Madhatter%20Mapping&query_place_id=ChIJtSeqAFJ_fkgRl48183JzzyM","Auto tune up service"
"North East Remaps","4.9","45","Dene Park","Durham",,"GB","http://www.northeastremaps.co.uk/","+44 7825 050500","Auto tune up service","Auto electrical service","Auto repair shop",,,,,,,"https://www.google.com/maps/search/?api=1&query=North%20East%20Remaps&query_place_id=ChIJSd_VgkXVfUgRgSjrWWraIvg","Auto tune up service"
"CPR Remapping",,,"Industrial Estate, 25b Haugh Ln","Hexham",,"GB","http://cprremapping.co.uk/","","Auto repair shop",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=CPR%20Remapping&query_place_id=ChIJFednxU_GfUgReC3WAv6YRdY","Auto repair shop"
"CleverMapping Ltd","5","24","Business Park","Carlisle",,"GB","https://clevermapping.co.uk/","+44 1228 904005","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=CleverMapping%20Ltd&query_place_id=ChIJ2xlLqIAFfUgRZHCpLcOWPFA","Auto tune up service"
"D and D Auto Care","4.8","121","Industrial Estate, 3 Charlaw Cl","Durham",,"GB","https://danddautocare.co.uk/","+44 191 371 9800","Auto tune up service","Auto air conditioning service","Auto electrical service","Auto repair shop","Car repair and maintenance service","Car inspection station","Motorcycle repair shop","RV repair shop","Vehicle inspection service","https://www.google.com/maps/search/?api=1&query=D%20and%20D%20Auto%20Care&query_place_id=ChIJzdZdlIx-fkgRcKUNzHqAa_8","Auto tune up service"
"Mr G's ECU Remapping Carlisle","4.8","170","3 Thomson St","Carlisle",,"GB","https://www.mrgscomputerrepairs.co.uk/","+44 800 970 4939","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Mr%20G's%20ECU%20Remapping%20Carlisle&query_place_id=ChIJ2e2Q_TMafUgRbOL62gJqx-Y","Auto tune up service"
"Evotune","4.8","49","Littleburn Industrial Estate, Skillion Business Center","Durham",,"GB","http://www.evotune.co.uk/","+44 191 367 0687","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Evotune&query_place_id=ChIJF8K_7Y59fkgRG7-BYlKP2tA","Auto tune up service"
"Durham Remaps DR","4.4","282","Unit 20g, Beehive Workshops","Durham",,"GB","http://www.durhamremaps.co.uk/","+44 191 386 4370","Auto tune up service","Car repair and maintenance service","Muffler shop","Transmission shop",,,,,,"https://www.google.com/maps/search/?api=1&query=Durham%20Remaps%20DR&query_place_id=ChIJK3ROQmJ9fkgRe_pBxOUZ220","Auto tune up service"
"Turbo Tuning","5","6","Brook Ct","Bedlington",,"GB","https://turbotuning.co.uk/","+44 7999 876156","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Turbo%20Tuning&query_place_id=ChIJsSKmRCP2Z6sRNTSCSdGk4NQ","Auto tune up service"
"Energy Tuning Ltd","4.9","37","North Seaton Industrial Estate, 13F Armstrong Ct","Ashington",,"GB","https://www.energy-tuning.co.uk/","+44 1670 818914","Auto tune up service","Auto electrical service","Auto repair shop",,,,,,,"https://www.google.com/maps/search/?api=1&query=Energy%20Tuning%20Ltd&query_place_id=ChIJ8zW2XWkNfkgRu8So7KjzIRQ","Auto tune up service"
"Diagnostic And Vehicle Engine Services (Daves) Ltd","4.7","76","Ind Est, Unit 1d Park Rd","Consett",,"GB","http://calldaves.co.uk/","+44 1207 503348","Car repair and maintenance service","Air conditioning repair service","Auto electrical service","Auto repair shop","Brake shop","Mechanic","Tire shop",,,"https://www.google.com/maps/search/?api=1&query=Diagnostic%20And%20Vehicle%20Engine%20Services%20(Daves)%20Ltd&query_place_id=ChIJ-yfhfg7UfUgRsK8G4nFyfIs","Car repair and maintenance service"
"Parker Automotive Remaps ,Ecu Tuning DPF cleaning, Adblue Solutions","4.9","44","13","Wallsend",,"GB","https://parkerautomotiveremaps.co.uk/","","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Parker%20Automotive%20Remaps%20%2CEcu%20Tuning%20DPF%20cleaning%2C%20Adblue%20Solutions&query_place_id=ChIJfU14nEFxfkgR3KpKgfp7idY","Auto tune up service"
"ECU Remapping Liverpool","4.7","25","Unit 5b Wareing Rd","Liverpool",,"GB","http://www.ecuremappingliverpool.co.uk/","+44 151 345 8588","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=ECU%20Remapping%20Liverpool&query_place_id=ChIJm0dXi6oje0gRXAk_ZArS9dI","Auto tune up service"
"Ecotune","4.9","242","Unit 10, Hillington Park Industrial Estate, 36 Dalziel Rd","Glasgow",,"GB","http://www.ecotune-scotland.co.uk/","+44 141 882 4669","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Ecotune&query_place_id=ChIJ6_oGxzVPiEgRIVtFDgYt1TI","Auto tune up service"
"ECU Remaps & Engine Tuning BHP UK Merseyside","5","2","Unit 3, Mosedale Rd","Wirral",,"GB",,"+44 151 792 1183","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=ECU%20Remaps%20%26%20Engine%20Tuning%20BHP%20UK%20Merseyside&query_place_id=ChIJyaKJRUTfekgR67h0sTKI63I","Auto tune up service"
"ECU Remapping UK",,,"11, 9 Wood St","Poulton-le-Fylde",,"GB",,"+44 800 880 6041","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=ECU%20Remapping%20UK&query_place_id=ChIJV4yJUO5Ce0gR7ZWX2e8Z97U","Auto tune up service"
"EZ Remaps - Mobile Auto Tuning & Diagnostics - DPF & Adblue Solutions","5","25","746 Kenton Ln","Lodon",,"GB","https://ezremapsuk.wixsite.com/ez-remaps-uk","+44 7563 630808","Auto tune up service","Car repair and maintenance service",,,,,,,,"https://www.google.com/maps/search/?api=1&query=EZ%20Remaps%20-%20Mobile%20Auto%20Tuning%20%26%20Diagnostics%20-%20DPF%20%26%20Adblue%20Solutions&query_place_id=ChIJPXipqsoUDA4RRDQEuZLUbiQ","Auto tune up service"
"Edinburgh Remaps","4.5","48","75A Restalrig Rd S","Edinburgh",,"GB","https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://edinburgh.quantumtuning.co.uk/&ved=2ahUKEwjV3sHD4b2SAxUDW0EAHXX5LpMQFnoECEkQAQ&usg=AOvVaw24LYeAevjaC2xhg8coXG2z","+44 131 661 0946","Auto tune up service","Car accessories store",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Edinburgh%20Remaps&query_place_id=ChIJIRrCb6S5h0gRJ226DZRmysY","Auto tune up service"
"BHP UK","4.8","305","Unit 7, Empire Business Park, Enterprise Way","Burnley",,"GB","https://bhp-uk.net/","+44 1282 779000","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=BHP%20UK&query_place_id=ChIJwfkln4GZe0gRRSPncVUQKNI","Auto tune up service"
"RemapWorks","5","14","Flaxley Rd","Birmingham",,"GB","https://www.remapworks.co.uk/","+44 7376 668716","Auto tune up service","Mechanic",,,,,,,,"https://www.google.com/maps/search/?api=1&query=RemapWorks&query_place_id=ChIJtYO-YHw0IWMRm2nSwvJkllw","Auto tune up service"
"ECUFast Mobile Remap & Tuning Specialists","5","36","8 Popple Way","Stevenage",,"GB",,"+44 7898 952831","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=ECUFast%20Mobile%20Remap%20%26%20Tuning%20Specialists&query_place_id=ChIJD2QCEXwxdkgRFjXizOtUhJc","Auto tune up service"
"Midland Remaps","4.8","287","Unit 27, Fordhouse Road Industrial Estate, Steel Dr","Wolverhampton",,"GB","http://www.midlandremaps.co.uk/","+44 1902 256654","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Midland%20Remaps&query_place_id=ChIJd1MwVmmccEgRUJwcxXiCkZg","Auto tune up service"
"Bucks Ecu Remapping","4.9","27","Highwood Cres","High Wycombe",,"GB","https://www.bucksecuremapping.com/","+44 7459 912608","Auto tune up service","Auto repair shop",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bucks%20Ecu%20Remapping&query_place_id=ChIJP6R6eJaLdkgRWa96fLnPDOg","Auto tune up service"
"Dr.ECU Sussex - Remapping & Diagnostics","4.9","37","Unit 6 Hyders Farm House, Bonnetts Ln","Crawley",,"GB","https://www.drecu.co.uk/","+44 7506 393294","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Dr.ECU%20Sussex%20-%20Remapping%20%26%20Diagnostics&query_place_id=ChIJVfADDl6NdUgRSKNDRot6T4U","Auto tune up service"
"Tune Tec","5","5","2 Selby Grove","Birmingham",,"GB","https://tunetec.co.uk/","+44 7574 567076","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Tune%20Tec&query_place_id=ChIJuy7nLoG5cEgR4lpqOf3oNJ4","Auto tune up service"
"Redline Remaps Mobile ECU Solutions","5","25","48 W George St","Glasgow",,"GB","https://redlineremaps.co.uk/","+44 7474 011076","Auto tune up service","Auto body shop","Auto electrical service","Auto parts store","Car detailing service","Car repair and maintenance service","Tire shop",,,"https://www.google.com/maps/search/?api=1&query=Redline%20Remaps%20Mobile%20ECU%20Solutions&query_place_id=ChIJ7-l0AFEvGi0Rhmr08_kRmYs","Auto tune up service"
"STX Tuning","4.9","490","Deseronto Trading Estate","Slough",,"GB","http://www.stxtuning.co.uk/","+44 1753 439130","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=STX%20Tuning&query_place_id=ChIJ7T1Q_5x7dkgRaw8dNyIPAQc","Auto tune up service"
"HFTuning ECU REMAP SOLUTIONS","5","26","23 Denver Rd","London",,"GB",,"+44 7787 100546","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=HFTuning%20ECU%20REMAP%20SOLUTIONS&query_place_id=ChIJLfDn47oddkgR8kAa-RLrYfc","Auto tune up service"
"Midlands Remap","5","591","Aldfield Grn","Leicester",,"GB","https://www.midlandsremap.com/","+44 7307 182969","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Midlands%20Remap&query_place_id=ChIJbYDec15jd0gR9DkJtl9vLzI","Auto tune up service"
"JR Tuning UK","4.6","65","Industrial Centre, Unit 6 Dray Corner Rd, Four Oaks Rd","Ashford",,"GB","http://www.jrtuning.co.uk/","+44 1622 320217","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=JR%20Tuning%20UK&query_place_id=ChIJaej0_ywk30cR7zK-WjMIDwY","Auto tune up service"
"Expert Tuning","5","154","Gibbons Brook","Barnhaven",,"GB","http://www.experttuning.co.uk/","+44 7525 479932","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Expert%20Tuning&query_place_id=ChIJAbfmLBX8dUgRMUT7REE91yE","Auto tune up service"
"Xclusv Custom Remapping","4.8","34","Castleham Industrial Estate, Offerfair Business Centre, Maunsell Rd","Saint Leonards-on-sea",,"GB","http://www.xclusvremapping.co.uk/","+44 7904 961410","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Xclusv%20Custom%20Remapping&query_place_id=ChIJebN4r6Ib30cR9c1XTA-EvvM","Auto tune up service"
"Rose Remaps & Tuning","5","157","181 London Rd","Dover",,"GB","http://roseremapsandtuning.co.uk/","+44 7762 770211","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Rose%20Remaps%20%26%20Tuning&query_place_id=ChIJPcxlO_W73kcRi4FrrHjU1nE","Auto tune up service"
"Mallard Motorsport Remapping","5","7","19 Meadway","Dover",,"GB","http://mallardmotorsport.co.uk/","+44 7928 818425","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Mallard%20Motorsport%20Remapping&query_place_id=ChIJtav-CxcoRmARfw9mFUeZHS4","Auto tune up service"
"KAP Tuning","5","7","KAP Folkestone Shorncliffe Motorpark, Ross Way","Folkestone",,"GB","http://www.kaptuning.co.uk/","+44 1303 228200","Auto tune up service","Engine rebuilding service","Engineer","Motor vehicle dealer","Race car dealer","Racing car parts store",,,,"https://www.google.com/maps/search/?api=1&query=KAP%20Tuning&query_place_id=ChIJSXp1kALM3kcRawwbPNbhUEo","Auto tune up service"
"Petes Mechanics & Remaps Ltd","5","59","122, Ellingham Industrial Estate","Ashford",,"GB","https://petesmechanics.co.uk/","+44 7920 828588","Auto tune up service","Mechanic",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Petes%20Mechanics%20%26%20Remaps%20Ltd&query_place_id=ChIJR-lV1Tbb3kcR9mClq1rVZ9Q","Auto tune up service"
"ByteFLASH","5","5","Ind. Centre, Unit 7D Dray Corner Rd, Four Oaks Rd","Ashford",,"GB","https://byteflash.co.uk/contact_us.php","+44 1622 320496","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=ByteFLASH&query_place_id=ChIJq2Xpy30l30cRrBQiR2scPl0","Auto tune up service"
"DVS Tuning","5","149","Kent","Canterbury",,"GB","http://www.dvs-tuning.co.uk/","+44 7984 348764","Auto tune up service","Software company",,,,,,,,"https://www.google.com/maps/search/?api=1&query=DVS%20Tuning&query_place_id=ChIJC944XEq_3kcRrcofBZP0iOI","Auto tune up service"
"Fast Road Conversions","4.8","194","Unit 7, Stafford Close, Leacon Rd","Ashford",,"GB","http://www.fastroadconversions.com/","+44 1233 662225","Auto tune up service","Auto repair shop","Muffler shop","Fabrication engineer","Mechanic",,,,,"https://www.google.com/maps/search/?api=1&query=Fast%20Road%20Conversions&query_place_id=ChIJcWHO9UPa3kcRzusSU_7aWFk","Auto tune up service"
"Trustytec","4.9","288","Plough Service Station","Dover",,"GB","http://www.trustytec.com/","+44 1304 226805","Auto tune up service","Auto repair shop","Car repair and maintenance service","Repair service","Tire repair shop","Vehicle inspection service",,,,"https://www.google.com/maps/search/?api=1&query=Trustytec&query_place_id=ChIJZxK9q5u73kcRn5hl_ICR5dc","Auto tune up service"
"MK Motor Services","4.9","99","Brett Drive Industrial Estate, 3 Brett Dr","Bexhill-on-Sea",,"GB","https://mkmotorservices.co.uk/","+44 1424 733111","Car inspection station","Auto repair shop",,,,,,,,"https://www.google.com/maps/search/?api=1&query=MK%20Motor%20Services&query_place_id=ChIJS-chKSgO30cRWmY1JQESV_I","Car inspection station"
"RubyTune","5","256","Magnolia Dr","Canterbury",,"GB","https://www.rubytune.co.uk/","+44 1227 314914","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=RubyTune&query_place_id=ChIJf4fwj6LP3kcR12qczE_rzkQ","Auto tune up service"
"Road Rage Performance - Kent Remap Specialists","5","95","Unit D5 Forstal Business Park","Tonbridge",,"GB","http://www.roadrageperformance.co.uk/","+44 300 030 1025","Auto tune up service","Auto machine shop",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Road%20Rage%20Performance%20-%20Kent%20Remap%20Specialists&query_place_id=ChIJW6g52ltM30cRwkdLZgQH-18","Auto tune up service"
"Sibley Automotive","4.8","157","Unit 1, Brunswick Trade Centre, Brunswick Rd","Ashford",,"GB","http://sibleyautomotive.co.uk/","+44 1233 638080","Car repair and maintenance service","Auto repair shop","Car inspection station","Tire shop","Vehicle inspection service","Wheel alignment service",,,,"https://www.google.com/maps/search/?api=1&query=Sibley%20Automotive&query_place_id=ChIJwdMQeivb3kcRVfV8MBoolbU","Car repair and maintenance service"
"Performance Centre","4.8","367","2, Woodbine Complex","Sunderland",,"GB","https://www.performance-centre.co.uk/","+44 191 540 2135","Auto tune up service","Auto machine shop","Auto repair shop","Car repair and maintenance service","Diesel engine repair service","Free parking lot","Repair service",,,"https://www.google.com/maps/search/?api=1&query=Performance%20Centre&query_place_id=ChIJ0Zkh2rtmfkgRtg5VDbx5mHs","Auto tune up service"
"Bluespark Automotive Ltd","4.9","148","Unit 23A Dubmire Industrial Estate Fence Houses Houghton-le-Spring, United Kingdom","Houghton le Spring",,"GB","https://bluesparkautomotive.com/","+44 191 385 9005","Auto tune up service","Auto parts store",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bluespark%20Automotive%20Ltd&query_place_id=ChIJvcyiN0ljfkgRdJeJchO-zI4","Auto tune up service"
"TD Performance Tuning","4.5","31","Unit 2 Mill Pit","Houghton le Spring",,"GB","http://www.tdperformance.co.uk/","+44 191 385 5585","Auto tune up service","Car repair and maintenance service",,,,,,,,"https://www.google.com/maps/search/?api=1&query=TD%20Performance%20Tuning&query_place_id=ChIJYULhj0hjfkgRaqgNhtPs5ho","Auto tune up service"
"The Bearded Remapper","5","19","Wansbeck Enterprise, Unit 6 Green Lane Workshops","Ashington",,"GB","https://www.thebeardedremapper.co.uk/","+44 7760 229052","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=The%20Bearded%20Remapper&query_place_id=ChIJdQogyn7OhoURkrw3-b4mCJ0","Auto tune up service"
"A2B Remaps & Tuning","5","3","Unit 2 Vulcan Pl","Bedlington",,"GB","https://a2bremapsne.co.uk/","+44 7399 274150","Repair service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=A2B%20Remaps%20%26%20Tuning&query_place_id=ChIJL4rIk40NfkgRludrt-8Nelk","Repair service"
